date,value
2019-01-02 23:59:59.000000,176.54
2019-01-03 23:59:59.000000,174.24
2019-01-04 23:59:59.000000,177.31
2019-01-07 23:59:59.000000,177.95
2019-01-08 23:59:59.000000,179.64
2019-01-09 23:59:59.000000,181.30
2019-01-10 23:59:59.000000,181.57
2019-01-11 23:59:59.000000,181.03
2019-01-14 23:59:59.000000,178.81
2019-01-15 23:59:59.000000,181.34
2019-01-16 23:59:59.000000,180.88
2019-01-17 23:59:59.000000,180.87
2019-01-18 23:59:59.000000,183.30
2019-01-21 23:59:59.000000,183.62
2019-01-22 23:59:59.000000,180.93
2019-01-23 23:59:59.000000,179.72
2019-01-24 23:59:59.000000,180.16
2019-01-25 23:59:59.000000,180.04
2019-01-28 23:59:59.000000,179.11
2019-01-29 23:59:59.000000,179.71
2019-01-30 23:59:59.000000,182.20
2019-01-31 23:59:59.000000,182.85
2019-02-01 23:59:59.000000,183.96
2019-02-04 23:59:59.000000,184.63
2019-02-05 23:59:59.000000,187.83
2019-02-06 23:59:59.000000,187.06
2019-02-07 23:59:59.000000,185.29
2019-02-08 23:59:59.000000,184.99
2019-02-11 23:59:59.000000,186.13
2019-02-12 23:59:59.000000,187.76
2019-02-13 23:59:59.000000,188.43
2019-02-14 23:59:59.000000,189.40
2019-02-15 23:59:59.000000,189.96
2019-02-18 23:59:59.000000,189.62
2019-02-19 23:59:59.000000,188.28
2019-02-20 23:59:59.000000,189.02
2019-02-21 23:59:59.000000,188.50
2019-02-22 23:59:59.000000,189.23
2019-02-25 23:59:59.000000,189.77
2019-02-26 23:59:59.000000,187.49
2019-02-27 23:59:59.000000,186.08
2019-02-28 23:59:59.000000,186.07
2019-03-01 23:59:59.000000,187.61
2019-03-04 23:59:59.000000,188.26
2019-03-05 23:59:59.000000,188.86
2019-03-06 23:59:59.000000,187.67
2019-03-07 23:59:59.000000,186.75
2019-03-08 23:59:59.000000,186.91
2019-03-11 23:59:59.000000,187.52
2019-03-12 23:59:59.000000,188.63
2019-03-13 23:59:59.000000,187.95
2019-03-14 23:59:59.000000,187.37
2019-03-15 23:59:59.000000,188.83
2019-03-18 23:59:59.000000,190.53
2019-03-19 23:59:59.000000,190.17
2019-03-20 23:59:59.000000,190.25
2019-03-21 23:59:59.000000,193.01
2019-03-22 23:59:59.000000,188.37
2019-03-25 23:59:59.000000,187.58
2019-03-26 23:59:59.000000,188.62
2019-03-27 23:59:59.000000,188.47
2019-03-28 23:59:59.000000,189.98
2019-03-29 23:59:59.000000,191.82
2019-04-01 23:59:59.000000,188.69
2019-04-02 23:59:59.000000,190.45
2019-04-03 23:59:59.000000,190.06
2019-04-04 23:59:59.000000,190.84
2019-04-05 23:59:59.000000,192.50
2019-04-08 23:59:59.000000,192.29
2019-04-09 23:59:59.000000,191.66
2019-04-10 23:59:59.000000,191.37
2019-04-11 23:59:59.000000,191.52
2019-04-12 23:59:59.000000,192.04
2019-04-15 23:59:59.000000,192.20
2019-04-16 23:59:59.000000,193.17
2019-04-17 23:59:59.000000,193.24
2019-04-18 23:59:59.000000,193.54
2019-04-23 23:59:59.000000,195.57
2019-04-24 23:59:59.000000,194.80
2019-04-25 23:59:59.000000,194.88
2019-04-26 23:59:59.000000,195.09
2019-04-29 23:59:59.000000,195.55
2019-04-30 23:59:59.000000,194.21
2019-05-01 23:59:59.000000,192.95
2019-05-02 23:59:59.000000,192.85
2019-05-03 23:59:59.000000,193.14
2019-05-07 23:59:59.000000,190.24
2019-05-08 23:59:59.000000,190.66
2019-05-09 23:59:59.000000,188.96
2019-05-10 23:59:59.000000,189.39
2019-05-13 23:59:59.000000,186.86
2019-05-14 23:59:59.000000,188.85
2019-05-15 23:59:59.000000,190.30
2019-05-16 23:59:59.000000,192.62
2019-05-17 23:59:59.000000,192.36
2019-05-20 23:59:59.000000,191.47
2019-05-21 23:59:59.000000,191.95
2019-05-22 23:59:59.000000,192.86
2019-05-23 23:59:59.000000,190.65
2019-05-24 23:59:59.000000,191.18
2019-05-28 23:59:59.000000,190.74
2019-05-29 23:59:59.000000,189.47
2019-05-30 23:59:59.000000,190.44
2019-05-31 23:59:59.000000,188.73
2019-06-03 23:59:59.000000,188.62
2019-06-04 23:59:59.000000,190.34
2019-06-05 23:59:59.000000,190.88
2019-06-06 23:59:59.000000,191.81
2019-06-07 23:59:59.000000,193.02
2019-06-10 23:59:59.000000,194.83
2019-06-11 23:59:59.000000,195.22
2019-06-12 23:59:59.000000,194.56
2019-06-13 23:59:59.000000,195.20
2019-06-14 23:59:59.000000,195.32
2019-06-17 23:59:59.000000,196.12
2019-06-18 23:59:59.000000,198.08
2019-06-21 23:59:59.000000,198.43
2019-06-24 23:59:59.000000,198.10
2019-06-25 23:59:59.000000,197.17
2019-06-26 23:59:59.000000,197.36
2019-06-27 23:59:59.000000,198.10
2019-06-28 23:59:59.000000,198.41
2019-07-01 23:59:59.000000,200.80
2019-07-02 23:59:59.000000,202.19
2019-07-03 23:59:59.000000,203.74
2019-07-04 23:59:59.000000,203.81
2019-07-05 23:59:59.000000,203.70
2019-07-08 23:59:59.000000,202.61
2019-07-09 23:59:59.000000,202.97
2019-07-10 23:59:59.000000,203.15
2019-07-11 23:59:59.000000,202.90
2019-07-12 23:59:59.000000,203.05
2019-07-15 23:59:59.000000,203.99
2019-07-16 23:59:59.000000,205.10
2019-07-17 23:59:59.000000,203.97
2019-07-18 23:59:59.000000,203.02
2019-07-19 23:59:59.000000,202.77
2019-07-22 23:59:59.000000,202.93
2019-07-23 23:59:59.000000,204.83
2019-07-24 23:59:59.000000,204.36
2019-07-25 23:59:59.000000,203.70
2019-07-26 23:59:59.000000,205.87
2019-07-29 23:59:59.000000,208.20
2019-07-30 23:59:59.000000,208.36
2019-07-31 23:59:59.000000,205.82
2019-08-01 23:59:59.000000,205.91
2019-08-02 23:59:59.000000,203.46
2019-08-05 23:59:59.000000,198.09
2019-08-06 23:59:59.000000,198.27
2019-08-07 23:59:59.000000,198.95
2019-08-08 23:59:59.000000,202.29
2019-08-09 23:59:59.000000,202.02
2019-08-12 23:59:59.000000,200.47
2019-08-13 23:59:59.000000,201.76
2019-08-14 23:59:59.000000,198.01
2019-08-15 23:59:59.000000,196.77
2019-08-16 23:59:59.000000,198.70
2019-08-19 23:59:59.000000,200.94
2019-08-20 23:59:59.000000,199.90
2019-08-21 23:59:59.000000,201.45
2019-08-22 23:59:59.000000,199.20
2019-08-23 23:59:59.000000,196.34
2019-08-27 23:59:59.000000,196.78
2019-08-28 23:59:59.000000,197.86
2019-08-29 23:59:59.000000,200.12
2019-08-30 23:59:59.000000,201.23
2019-09-02 23:59:59.000000,203.02
2019-09-03 23:59:59.000000,201.67
2019-09-04 23:59:59.000000,202.28
2019-09-05 23:59:59.000000,202.33
2019-09-06 23:59:59.000000,202.94
2019-09-09 23:59:59.000000,202.61
2019-09-10 23:59:59.000000,202.52
2019-09-11 23:59:59.000000,204.26
2019-09-12 23:59:59.000000,205.06
2019-09-13 23:59:59.000000,204.20
2019-09-16 23:59:59.000000,203.61
2019-09-17 23:59:59.000000,202.98
2019-09-18 23:59:59.000000,203.13
2019-09-19 23:59:59.000000,203.24
2019-09-20 23:59:59.000000,202.67
2019-09-23 23:59:59.000000,203.32
2019-09-24 23:59:59.000000,201.68
2019-09-25 23:59:59.000000,202.93
2019-09-26 23:59:59.000000,203.75
2019-09-27 23:59:59.000000,203.94
2019-09-30 23:59:59.000000,203.98
2019-10-01 23:59:59.000000,203.61
2019-10-02 23:59:59.000000,198.70
2019-10-03 23:59:59.000000,197.90
2019-10-04 23:59:59.000000,201.25
2019-10-07 23:59:59.000000,200.93
2019-10-08 23:59:59.000000,200.00
2019-10-09 23:59:59.000000,201.11
2019-10-10 23:59:59.000000,201.28
2019-10-11 23:59:59.000000,198.82
2019-10-14 23:59:59.000000,199.92
